name,surveys,exclude_from_release,title,description
caseid,"[1, 2, 3, 4, 5, 7, 8, 9]",,Case ID,
weight,"[1, 2, 3, 4, 5, 7, 8, 9]",,"Post-stratification weights - 18+ general population (N=1,036)",
rnd_01,"[1, 8]",,RANDOM: Randomization variable used for scripting,
ps_a_medicaid_bi,[1],,"[I favor expanding Medicaid insurance benefits for low income families to provide coverage for treatment of opioid use disorders/addiction problems, including addiction to prescription pain medications. ] Do you disagree or agree with the following stateme",
ps_b_naloxone_bi,[1],,"[I favor making naloxone (also known as 'Narcan'), a medication that can quickly reverse the effects of a person experiencing an opioid overdose, widely available and affordable without a prescription.] Do you disagree or agree with the following statement",
ps_c_mandatory_bi,[1],,[I believe that making drug treatment mandatory is an effective way to help people with an opioid use disorder.] Do you disagree or agree with the following statements?,
ps_d_govspend_bi,[1],,[I favor increasing government spending to improve treatment of opioid use disorder/addiction.] Do you disagree or agree with the following statements?,
ds_e_schools_bi,[1],,[High schools and colleges should be allowed to dismiss or expel a person with an opioid use disorder/addiction.] Do you disagree or agree with the following statements?,
ds_f_physicians_bi,[1],,[Physicians and other healthcare providers should be allowed to refuse to treat a person with an opioid use disorder/addiction.] Do you disagree or agree with the following statements?,
ds_g_employers_bi,[1],,[Employers should be allowed to deny employment to a person with a current opioid use disorder/addiction.] Do you disagree or agree with the following statements?,
ds_h_landlords_bi,[1],,[Landlords should be allowed to deny housing to a person with a current opioid use disorder/addiction.] Do you disagree or agree with the following statements?,
ps_i_seekmedical_bi,[1],,[I favor passing laws to protect people from criminal charges for drug crimes if they seek medical help for experiencing an opioid/prescription pain medication problem.] Do you disagree or agree with the following statements?,
ps_j_jailhealth_bi,[1],,[I believe that incarceration/jail is an effective way to improve the health of people with an opioid use disorder.] Do you disagree or agree with the following statements?,
ps_k_jailoverdose_bi,[1],,[I believe that incarceration/jail is an effective way to reduce the risk of overdosing for people with an opioid use disorder.] Do you disagree or agree with the following statements?,
ps_l_jailtreatment_bi,[1],,"[I believe that people in jail/prison with an opioid use disorder/addiction problem should get access to medication for opioid use disorder (e.g., methadone, buprenorphine, or naltrexone).] Do you disagree or agree with the following statements?",
ps_a_medicaid_uni,[1],,"[I favor expanding Medicaid insurance benefits for low income families to provide coverage for treatment of opioid use disorders/addiction problems, including addiction to prescription pain medications. ] Do you agree with the following statements?",
ps_b_naloxone_uni,[1],,"[I favor making naloxone (also known as 'Narcan'), a medication that can quickly reverse the effects of a person experiencing an opioid overdose, widely available and affordable without a prescription.] Do you agree with the following statements?",
ps_c_mandatory_uni,[1],,[I believe that making drug treatment mandatory is an effective way to help people with an opioid use disorder.] Do you agree with the following statements?,
ps_d_govspend_uni,[1],,[I favor increasing government spending to improve treatment of opioid use disorder/addiction.] Do you agree with the following statements?,
ds_e_schools_uni,[1],,[High schools and colleges should be allowed to dismiss or expel a person with an opioid use disorder/addiction.] Do you agree with the following statements?,
ds_f_physicians_uni,[1],,[Physicians and other healthcare providers should be allowed to refuse to treat a person with an opioid use disorder/addiction.] Do you agree with the following statements?,
ds_g_employers_uni,[1],,[Employers should be allowed to deny employment to a person with a current opioid use disorder/addiction.] Do you agree with the following statements?,
ds_h_landlords_uni,[1],,[Landlords should be allowed to deny housing to a person with a current opioid use disorder/addiction. ] Do you agree with the following statements?,
ps_i_seekmedical_uni,[1],,[I favor passing laws to protect people from criminal charges for drug crimes if they seek medical help for experiencing an opioid/prescription pain medication problem.] Do you agree with the following statements?,
ps_j_jailhealth_uni,[1],,[I believe that incarceration/jail is an effective way to improve the health of people with an opioid use disorder.] Do you agree with the following statements?,
ps_k_jailoverdose_uni,[1],,[I believe that incarceration/jail is an effective way to reduce the risk of overdosing for people with an opioid use disorder.] Do you agree with the following statements?,
ps_l_jailtreatment_uni,[1],,"[I believe that people in jail/prison with an opioid use disorder/addiction problem should get access to medication for opioid use disorder (e.g., methadone, buprenorphine, or naltrexone).] Do you agree with the following statements?",
ss_a_historywork_bi,[1],,[I would be willing to have a person with a past history of opioid use disorder/addiction start working closely with me on a job.] Do you disagree or agree with the following statements?,
ss_b_historymarry_bi,[1],,[I am comfortable having a person with a past history of opioid use disorder/addiction marry into my family.] Do you disagree or agree with the following statements?,
ss_c_currentwork_bi,[1],,[I would be willing to have a person with a current opioid use disorder/addiction start working closely with me on a job.] Do you disagree or agree with the following statements?,
ss_d_currentmarry_bi,[1],,[I would be comfortable having a person with a current opioid use disorder/addiction marry into my family.] Do you disagree or agree with the following statements?,
ss_e_dangerous_bi,[1],,[People with a current addiction to opioids/prescription pain medications are more dangerous than the general population.] Do you disagree or agree with the following statements?,
ss_f_trust_bi,[1],,[A person who is currently addicted to opioids/prescription pain medication cannot be trusted.] Do you disagree or agree with the following statements?,
ss_a_historywork_uni,[1],,[I would be willing to have a person with a past history of opioid use disorder/addiction start working closely with me on a job.] Do you agree with the following statements?,
ss_b_historymarry_uni,[1],,[I am comfortable having a person with a past history of opioid use disorder/addiction marry into my family.] Do you agree with the following statements?,
ss_c_currentwork_uni,[1],,[I would be willing to have a person with a current opioid use disorder/addiction start working closely with me on a job.] Do you agree with the following statements?,
ss_d_currentmarry_uni,[1],,[I would be comfortable having a person with a current opioid use disorder/addiction marry into my family.] Do you agree with the following statements?,
ss_e_dangerous_uni,[1],,[People with a current addiction to opioids/prescription pain medications are more dangerous than the general population.] Do you agree with the following statements?,
ss_f_trust_uni,[1],,[A person who is currently addicted to opioids/prescription pain medication cannot be trusted.] Do you agree with the following statements?,
cs_a_obtain_bi,[1],,[I favor arresting and prosecuting people who obtain opioids/pain medication from sources other than a medical provider.] Do you disagree or agree with the following statements?,
